job title,job company,job location,job skills,links
Data Analyst,Natcom -,"Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Sales/Retail · Sales · Retail · Retail Sales · Retail Business,https://wuzzuf.net/jobs/p/kpNgil7J4AhE-Data-Analyst-Natcom-Cairo-Egypt?o=16&l=sp&t=sj&a=data analyst|search-v3|navbg
ERPNext Specialist/Data Analyst,Confidential -,"Alexandria, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Business Intelligence · BI · Data Analyst · Data Mining · Power BI · Data Analysis · ERPNext · ERP Implementation · Technical Support,https://wuzzuf.net/jobs/p/sQk7nEB7BSrD-ERPNext-SpecialistData-Analyst-Alexandria-Egypt?o=17&l=sp&t=sj&a=data analyst|search-v3|navbg
Actuarial Analyst,Misr Insurance Co -,"Giza, Egypt ",Full TimeExperienced · 0 - 5 Yrs of Exp · Analyst/Research · Actuarial · actuarial science · Analyst · Insurance,https://wuzzuf.net/jobs/p/2Fb6oLHI29IR-Actuarial-Analyst-Misr-Insurance-Co-Giza-Egypt?o=18&l=sp&t=sj&a=data analyst|search-v3|navbg
Senior Sales Analyst (Power BI),Alarabia Group -,"10th of Ramadan City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_only · IT/Software Development · Analyst/Research · Sales/Retail · Computer Science · Customer Service · Design · Development · Experience · Management · Sales,https://wuzzuf.net/jobs/p/lXp66GraUBCK-Senior-Sales-Analyst-Power-BI-Alarabia-Group-Cairo-Egypt?o=19&l=sp&t=sj&a=data analyst|search-v3|navbg
ERP Retail Business Analyst,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · business · Analysis · Business Analysis · Communication skills · Documentation · ERP · Information Technology (IT),https://wuzzuf.net/jobs/p/xrXHGf4rrlNl-ERP-Retail-Business-Analyst-Seoudi-Supermarket-Giza-Egypt?o=20&l=sp&t=sj&a=data analyst|search-v3|navbg
Senior Business Analyst (Alexandria),Ejada  -,"Siouf, Alexandria, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Banking · Business Analysis,https://wuzzuf.net/jobs/p/Bte5ldknrfIP-Senior-Business-Analyst-Alexandria-Ejada-Alexandria-Egypt?o=21&l=sp&t=sj&a=data analyst|search-v3|navbg
Senior Business Analyst,Ejada  -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Banking · Business Analysis · Business Development,https://wuzzuf.net/jobs/p/T60pHyvs7R3g-Senior-Business-Analyst-Ejada-Cairo-Egypt?o=22&l=sp&t=sj&a=data analyst|search-v3|navbg
Financial Analyst,Leverage -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · analytical · Corporate Finance · Forecasting · Financial Analysis · Reporting,https://wuzzuf.net/jobs/p/yTPo99UUSY30-Financial-Analyst-Leverage-Cairo-Egypt?o=23&l=sp&t=sj&a=data analyst|search-v3|navbg
Data Analyst,Nugttah -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Data Analysis · Data visualization · Data,https://wuzzuf.net/jobs/p/9Y9VzyWdrDBD-Data-Analyst-Nugttah-Cairo-Egypt?o=24&l=sp&t=sj&a=data analyst|search-v3|navbg
Financial Analyst,Shehab Mazhar -,"Mohandessin, Giza, Egypt ",Full TimeManager · 10 - 15 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Accounting · Analysis · Commerce · Corporate Finance · Economics · Finance · Financial Forecasting,https://wuzzuf.net/jobs/p/1TIMzi1LI6DU-Financial-Analyst-Shehab-Mazhar-Giza-Egypt?o=25&l=sp&t=sj&a=data analyst|search-v3|navbg
Network & Security Senior Analyst,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Telecom/Technology · Engineering · Networking,https://wuzzuf.net/jobs/p/v2R9ylySwtqf-Network-Security-Senior-Analyst-Cairo-Egypt?o=26&l=sp&t=sj&a=data analyst|search-v3|navbg
Sales Analyst,Saint-Gobain -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Analyst/Research · Sales/Retail · Finance · Sales Analysis · SAP · Analysis · Microsoft Office · Administration · Sales · CRM,https://wuzzuf.net/jobs/p/yQnmZz2ikKjV-Sales-Analyst-Saint-Gobain-Cairo-Egypt?o=27&l=sp&t=sj&a=data analyst|search-v3|navbg
