نوع البطولة,الفريق الاول,الفريق الثانى,ميعاد المباراة,نتيجة المباراة
دوري أبطال أوروبا,نابولي,آ. فرانكفورت,22:00,- - -
دوري أبطال أوروبا,ريال مدريد,ليفربول,22:00,- - -
الدوري الإنجليزي,ساوثامبتون,برينتفورد,21:30,- - -
الدوري الإنجليزي,برايتون,كريستال بالاس,21:30,- - -
كأس الملك سلمان للأندية,نادي الكويت,شبيبة الساورة,17:30,1 - 0
كأس الملك سلمان للأندية,إف سي نواذيبو,شباب الأردن,19:00,4 - 1
كأس الملك سلمان للأندية,الجيش الملكي,الاتحاد الليبي,21:00,- - -
بطولة إفريقيا للأندية لكرة السلة,الإتحاد الرياضي المنستيري,كوارا فالكونز,18:00,85 - 75
بطولة إفريقيا للأندية لكرة السلة,رواندا انيرجي جروب,إيه إس دوانيس,21:30,- - -
دوري المؤتمر الأوروبي,إسطنبول باشاكشهير,جينت,19:00,0 - 4
